"Grocery products, Australia, quarterly and annual movement (%)"
,"Change from previous quarter (%)","Annual change (%)"
"Bread and cereal products","3.1","6.3"
"Meat and seafoods","0.8","6.3"
"Dairy and related products","1.3","5.2"
"Fruit and vegetables","5.8","7.3"
"Food products n.e.c","1.1","6.1"
"Non alcoholic beverages","1.5","7.9"
"Non-durable hhold products","2.3","10.7"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia June 2022"
