"Grocery products, Australia, quarterly and annual movement (%)"
,"Change from previous quarter (%)","Annual change (%)"
"Bread and cereal products","3.4","10.0"
"Meat and seafoods","1.5","7.3"
"Dairy and related products","6.8","12.1"
"Fruit and vegetables","4.5","16.2"
"Other food products","3.9","9.4"
"Non alcoholic beverages","2.2","9.3"
"Non-durable household products","2.2","11.9"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia September Quarter 2022"
