"Mean dwelling price, states and territories, December quarter 2019"
,"Mean price ($'000)"
"NSW","899.3"
"VIC","747.5"
"QLD","520.3"
"SA","462.6"
"WA","507.5"
"TAS","434.5"
"NT","435.9"
"ACT","693.5"
"Australia","691"

"Source: Australian Bureau of Statistics, Residential Property Price Indexes: Eight Capital Cities December 2019"
