"Mean dwelling price, states and territories, September quarter 2021"
,"Mean price ($'000)"
"NSW","1,118.2"
"VIC","920.8"
"QLD","681"
"SA","576.8"
"WA","597.1"
"TAS","616.5"
"NT","476.9"
"ACT","949.7"
"Australia","863.7"

"Source: Australian Bureau of Statistics, Residential Property Price Indexes: Eight Capital Cities September 2021"
