"Mean dwelling price, states and territories, June quarter 2020"
,"Mean price ('000) ($)"
"NSW","871.8"
"VIC","736.8"
"QLD","517.9"
"SA","460.1"
"WA","498.5"
"TAS","451.4"
"NT","410.1"
"ACT","699.1"
"Australia","678.5"

"Source: Australian Bureau of Statistics, Residential Property Price Indexes: Eight Capital Cities June 2020"
