"Mean dwelling price, states and territories"
,"Mean price ($'000)"
"NSW","1,222.2"
"VIC","966.5"
"QLD","787.3"
"SA","656.1"
"WA","629.8"
"TAS","691.2"
"NT","509.1"
"ACT","1,028"
"Australia","941.9"

"Source: Australian Bureau of Statistics, Total Value of Dwellings March Quarter 2022"
