"Mean dwelling price, states and territories, December quarter 2021"
,"Mean price ($'000)"
"NSW","1,207.2"
"VIC","956.1"
"QLD","749.1"
"SA","614.3"
"WA","614.3"
"TAS","649.2"
"NT","489"
"ACT","979.6"
"Australia","920.1"

"Source: Australian Bureau of Statistics, Residential Property Price Indexes: Eight Capital Cities December 2021"
