,"August 2020","August 2019","August 2015","2019 to 2020(% change)","2015 to 2020(% change p.a.)"
"Men","$1300","$1280","$1185","1.6%","1.9%"
"Women","$1000","$950","$850","5.3%","3.3%"
"Total","$1150","$1100","$1000","4.5%","2.8%"
,,,,,

"Source: Australian Bureau of Statistics, Employee earnings August 2020"
