"Weighted average of eight capital cities, percentage change from previous quarter"
"Groups","Percentage change from previous quarter (%)","All groups CPI Percentage change from previous quarter (%)"
"All groups CPI",,"1.6"
"Food and non-alcoholic beverages","-0.4",
"Alcohol and tobacco","1.6",
"Clothing and footwear","0.4",
"Housing","0",
"Furnishings, household equipment and services","12.0",
"Health","-0.1",
"Transport","3.4",
"Communication","-0.8",
"Recreation and culture","1.1",
"Education","2.1",
"Insurance and financial services","0.1",

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia September 2020"
