"Weighted average of eight capital cities, quarterly movement (%)"
,"Change from previous quarter (%)","All groups CPI - Change from previous quarter (%)"
"All groups CPI",,"1.9"
"Food and non-alcoholic beverages","0.9",
"Alcohol and tobacco","1.2",
"Clothing and footwear","2.6",
"Housing","1.9",
"Furnishings, household equipment and services","1.8",
"Health","0.8",
"Transport","1.7",
"Communication","-0.5",
"Recreation and culture","5.4",
"Education","0.1",
"Insurance and financial services","2.0",

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia December Quarter 2022"
