"Weighted average of eight capital cities, percentage change from previous quarter"
"Groups","Percentage change from previous quarter (%)","All groups CPI Percentage change from previous quarter (%)"
"All groups CPI",,"0.9"
"Food and non-alcoholic beverages","0.2",
"Alcohol and tobacco","4.2",
"Clothing and footwear","-1.0",
"Housing","-0.6",
"Furnishings, household equipment and services","3.4",
"Health","1.3",
"Transport","0.9",
"Communication","-0.4",
"Recreation and culture","1.6",
"Education","1.2",
"Insurance and financial services","0.1",

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia December 2020"
