"All groups CPI, quarterly change"
"Quarter","Change from previous quarter"
"Jun-11","0.9"
,"0.6"
,"0"
,"0.1"
"Jun-12","0.5"
,"1.4"
,"0.2"
,"0.4"
"Jun-13","0.4"
,"1.2"
,"0.8"
,"0.6"
"Jun-14","0.5"
,"0.5"
,"0.2"
,"0.2"
"Jun-15","0.7"
,"0.5"
,"0.4"
,"-0.2"
"Jun-16","0.4"
,"0.7"
,"0.5"
,"0.5"
"Jun-17","0.2"
,"0.6"
,"0.6"
,"0.4"
"Jun-18","0.4"
,"0.4"
,"0.5"
,"0"
"Jun-19","0.6"
,"0.5"
,"0.7"
,"0.3"
"Jun-20","-1.9"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia June 2020"
