"All groups CPI, quarterly change"
,"Change from previous quarter (%)"
"Mar 2011","1.4"
"Jun 2011","0.9"
"Sep 2011","0.6"
"Dec 2011","0"
"Mar 2012","0.1"
"Jun 2012","0.5"
"Sep 2012","1.4"
"Dec 2012","0.2"
"Mar 2013","0.4"
"Jun 2013","0.4"
"Sep 2013","1.2"
"Dec 2013","0.8"
"Mar 2014","0.6"
"Jun 2014","0.5"
"Sep 2014","0.5"
"Dec 2014","0.2"
"Mar 2015","0.2"
"Jun 2015","0.7"
"Sep 2015","0.5"
"Dec 2015","0.4"
"Mar 2016","-0.2"
"Jun 2016","0.4"
"Sep 2016","0.7"
"Dec 2016","0.5"
"Mar 2017","0.5"
"Jun 2017","0.2"
"Sep 2017","0.6"
"Dec 2017","0.6"
"Mar 2018","0.4"
"Jun 2018","0.4"
"Sep 2018","0.4"
"Dec 2018","0.5"
"Mar 2019","0"
"Jun 2019","0.6"
"Sep 2019","0.5"
"Dec 2019","0.7"
"Mar 2020","0.3"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia March 2020"
